time,accX,accY,accZ,gyroX,gyroY,gyroZ,d_uncMagX,d_uncMagY,d_uncMagZ
0,0.00216183,0.12793,-0.0799449,-0.0349183,-0.0682449,0.568422,0.0757204,-0.25514,0.0101938
0.3072,0.150515,0.0696767,0.0928859,-0.0103188,-0.0308196,0.23116,0.0312339,0.217579,0.0361751
0.6144,0.115954,0.0894737,0.0462815,-0.0263182,-0.0237616,0.361547,-0.000747761,0.123307,-0.00910426
0.9216,0.227694,0.0815324,-0.0443292,-0.00903735,-0.0219419,0.284609,0.0147848,0.212801,0.0163063
1.2288,0.147849,0.0937397,0.0364415,-0.0212038,-0.043613,0.302563,0.0598316,0.165494,0.0734133
1.536,0.168737,0.0863939,0.183012,-0.0134163,-0.0210225,0.267201,0.0682587,0.180329,0.0522669
1.8432,0.175877,0.0659969,-0.118412,-0.0291987,-0.0516059,0.289277,0.0494649,0.132738,0.0300571
2.1504,0.160189,0.0972705,0.182974,-0.0263721,-0.0736093,0.283764,0.0719486,0.128122,0.0762403
2.4576,0.147273,0.0815099,0.0407293,-0.0227755,-0.0107078,0.278199,0.113263,0.108448,0.0727821
2.7648,0.178668,0.126424,0.134309,-0.0153291,-0.0103026,0.195726,0.0792272,0.109327,0.0493526
3.072,0.145828,0.0923404,0.29744,0.0174305,-0.027994,0.188811,0.0423613,0.0786631,-0.0152765
3.3792,0.163537,0.10238,0.294256,-0.0348836,-0.0542724,0.11468,0.0581616,0.104213,-0.0159606
3.6864,0.0542937,0.140993,0.209054,-0.000556741,-0.0234092,0.0507517,0.058377,0.00655558,0.0517408
3.9936,0.0554707,0.1192,-0.164926,0.0150551,0.0285864,-0.0289604,0.0401579,0.0312532,0.00936133
4.3008,0.02392,0.106794,-0.259596,-0.00377493,0.00244632,-0.0328367,-0.0209739,0.00799434,-0.0367373
4.608,0.0308052,0.142868,-0.0676434,-0.00260209,-0.00337667,-0.0398542,-0.0176154,-0.00190694,-0.00536584
4.9152,-0.00129872,0.0827779,0.194395,0.0036367,-0.000386771,-0.0307038,0.000490476,-0.0189253,0.0389373
