time,accX,accY,accZ,gyroX,gyroY,gyroZ,d_uncMagX,d_uncMagY,d_uncMagZ
0,0.0709952,0.122107,0.0356335,-0.00637056,-0.00844091,0.0568313,0.0160386,-0.0958686,0.0156243
0.5216,0.111392,0.101747,-0.026566,-0.00922569,-0.037238,0.173594,0.00207463,0.11867,-0.0263574
1.0432,0.0948598,0.109157,0.0238839,-0.00657199,-0.018595,0.163049,0.058906,0.0752608,-0.0179809
1.5648,0.142365,0.107445,0.250516,-0.0166028,-0.0102818,0.177883,0.0424831,0.116303,-0.061506
2.0864,0.143867,0.115835,0.0223093,-0.0240426,-0.0425492,0.128942,0.0270482,0.0869037,0.0279109
2.608,0.0799249,0.162281,-0.250159,-0.00293577,0.00778311,0.0872834,0.0135365,0.0280024,0.0888594
3.1296,0.116926,0.177683,0.18099,0.00275613,-0.0126,0.0667986,-0.0094036,0.0527895,-0.0245637
3.6512,0.0671444,0.158509,0.153789,0.00235874,-0.00598696,0.0321233,0.0690912,0.0233368,0.0634936
4.1728,0.0431525,0.144848,0.00793932,-0.0014762,0.00494462,-0.0161967,-0.0260082,0.0253625,-0.0723682
4.6944,0.0329078,0.163508,0.133076,0.0087623,-0.000229358,-0.01375,-0.0198597,-0.0036031,-0.0253483
5.216,0.0536034,0.179319,0.195412,0.00500939,-0.00499125,-0.0165449,-0.00758044,0.0181732,-0.0148301
5.7376,0.0347758,0.158993,0.143525,-0.00949289,-0.0145137,0.00420885,0.00157468,-0.0344342,0.0125294
6.2592,0.0652033,0.153926,0.272639,-0.00138842,-0.00916344,0.00694375,-0.014464,0.00101934,-0.00697713
6.7808,0.0515083,0.147485,-0.0219359,0.00109072,-0.00998998,0.0103727,0.0193281,0.0055889,0.0474329
7.3024,0.0373647,0.161717,0.0714743,-0.011164,-0.00758192,0.00820854,0.0453732,-0.0127168,0.0565038
7.824,0.0390562,0.156351,0.0948969,0.017379,-0.012251,0.010323,-0.00723094,0.0220801,-0.0475289
8.3456,0.0316713,0.16737,0.0752637,-0.00246587,0.0305346,0.00489631,-0.0195099,0.00151402,-0.00517662
8.8672,0.0499891,0.155006,-0.126075,0.00224925,-0.00513106,0.00795555,0.0234963,-0.014508,0.0131548
9.3888,0.0325555,0.12922,0.156773,-0.0108378,-0.00103345,0.00893826,0.0222616,0.0294461,0.0339581
9.9104,0.0337984,0.168835,0.00115585,0.0134438,0.00765884,0.00432298,-0.0371516,0.018395,-0.0623576
10.432,0.0348992,0.129957,0.0112384,0.0150797,0.00186653,0.000780653,0.0120305,0.0407716,-0.00048819
10.9536,0.0290953,0.11341,0.0870514,-0.011284,0.0142755,-0.0372072,-0.00361949,-0.00984064,-0.0436726
11.4752,0.0327269,0.133298,0.121692,-0.0114321,0.00855795,-0.0798261,-0.0245941,-0.0408896,0.0161389
11.9968,0.0138018,0.142338,0.0434288,0.00175602,0.00623194,-0.0876941,-0.0463472,-0.0793394,0.022225
12.5184,0.0108373,0.125908,0.022585,0.00660772,0.0178443,-0.0984002,-0.0364291,-0.0518863,0.0321825
13.04,0.0179727,0.176187,0.0827855,0.00697722,0.00926838,-0.0963062,-0.0148691,-0.0569432,-0.0122
13.5616,0.0259137,0.163299,0.0474726,0.0086247,0.0302242,-0.172036,-0.0324345,-0.0722493,0.0200466
14.0832,-0.0211544,0.201849,0.0976239,0.0179157,0.0294797,-0.273874,-0.0268348,-0.129478,-0.00929564
14.6048,-0.021187,0.190446,0.0917566,0.0250986,0.0541309,-0.371068,-0.0407924,-0.221371,0.0570974
15.1264,-0.0885949,0.172745,0.127191,0.0172877,0.06325,-0.399134,0.0362192,-0.239005,0.0141884
15.648,-0.0182963,0.174507,0.0983411,0.0150154,0.0769484,-0.35072,-0.00757334,-0.232927,-0.0240499
16.1696,0.00467402,0.122965,-0.0133021,0.0107446,0.0311358,-0.324741,0.0159806,-0.209116,-0.0315403
16.6912,-0.018981,0.0972276,-0.00331221,0.0215313,0.0414154,-0.277956,0.062985,-0.161825,-0.0117302
17.2128,0.0023647,0.0743604,-0.247798,0.0290998,0.0482464,-0.315645,0.104343,-0.155996,0.0537133
17.7344,-0.0399312,0.0794926,-0.0267716,0.0179722,0.0339844,-0.284272,0.170007,-0.116666,0.032225
18.256,-0.0180249,0.084658,0.0322346,0.00416043,0.022928,-0.130763,0.043179,-0.0679538,-0.0861916
18.7776,0.0368542,0.129928,0.100175,0.0037744,-9.33967e-05,-0.0141166,0.0364721,-0.0205991,0.0219924
19.2992,0.0753904,0.202186,0.125205,0.000204226,0.000604033,0.00821049,-0.0191401,-0.00136983,-0.00327939
19.8208,0.0630053,0.182078,0.0154464,-0.00162913,-0.00932806,-0.0219907,0.0267171,-0.00694098,0.0401359
20.3424,0.0569517,0.212314,0.204688,-0.00015375,0.0155564,-0.0268614,0.0187479,-0.00822802,-0.0259219
20.864,0.0669238,0.152279,0.167001,0.00307272,-0.0106277,-0.0285625,-0.00239955,-0.00131038,0.00820276
21.3856,0.0460779,0.161417,0.0868075,-0.0283662,-0.00146501,-0.0173111,0.0273209,-0.0448368,-0.00719401
21.9072,0.0706037,0.124156,-0.0951713,0.000901131,0.023678,-0.0233682,-0.0018972,-0.0120685,-0.0231095
22.4288,0.0565273,0.0856453,-0.134613,0.00156141,-0.0120321,-0.0169582,0.0449676,-0.0328696,0.0692665
22.9504,0.0631251,0.13361,0.0647437,0.0237226,0.0094424,-0.0136383,-0.0162629,0.0645722,-0.0879991
23.472,0.0579809,0.0935918,-0.0528393,-0.00658563,-0.000917742,0.000104953,0.025026,0.11491,-0.0199309
23.9936,0.0639417,0.141704,0.0291569,0.00504266,0.00137367,0.0198581,0.0195324,0.142336,-0.0407119
24.5152,0.0676008,0.149167,0.00920696,-0.0040569,-0.0107595,0.0165577,-0.00448383,0.224679,-0.0848225
25.0368,0.0716246,0.1637,0.0895264,0.00109071,-0.0104291,0.0288498,0.0230049,0.29949,-0.0111361
25.5584,0.0722474,0.144619,0.0632492,-0.00327796,-0.00712528,0.0119358,0.0107652,0.294461,0.0613186
26.08,0.0592215,0.168344,0.0915545,0.00178237,-0.00200853,0.00313951,0.0226892,0.334684,0.107602
26.6016,0.0621921,0.164774,0.0930333,-0.000156477,0.000204427,-0.00532821,0.0498492,0.277035,0.222505
27.1232,0.0547472,0.170278,0.153735,0.0028193,0.0022242,-0.000934265,0.0230496,0.255994,0.185741
27.6448,0.0623165,0.123369,-0.0020532,-0.000240141,0.00158985,-0.00133228,0.0342682,0.18486,0.196477
28.1664,0.0605673,0.144426,0.0754545,0.00287596,-0.00197328,0.00485979,0.0085733,0.11826,0.163201
28.688,0.0586529,0.115465,0.10025,-0.000862283,0.00211265,0.00706325,-0.0226751,0.096459,0.108656
29.2096,0.0620742,0.114179,0.0985609,0.000869007,-0.00328462,0.0124324,0.0376436,0.0458327,0.22348
29.7312,0.0600469,0.101658,0.00953669,-0.00321396,-0.0045481,0.00903389,-0.0116901,0.0367879,0.0192772
30.2528,0.058707,0.128307,0.02948,-0.000957194,-0.00216205,0.000279114,-0.0539231,0.0126023,-0.0013096
30.7744,0.0627758,0.134039,0.119688,-0.00369792,-0.0051831,-0.00307746,0.0117046,-0.00997895,-0.030069
31.296,0.0594825,0.155019,0.0827094,0.000357105,0.00930415,-0.000900236,-0.0173369,-0.0184461,-0.0111444
31.8176,0.0628279,0.125535,0.048368,-0.00055726,0.000538364,-0.00486822,0.0432366,-0.0342562,0.0560401
32.3392,0.0621749,0.152407,0.0781513,0.00272699,0.00233081,-0.00166537,-0.00499987,-0.103028,0.00323561
32.8608,0.0611259,0.120019,0.132836,0.00011918,0.0103662,0.000676721,0.00481154,-0.11807,-0.0356239
33.3824,0.0528966,0.119763,0.00657156,-0.000217621,0.00102633,7.11962e-06,-0.00158443,-0.00108993,-0.00341892
33.904,0.0571518,0.128376,0.15463,-0.00230234,0.00533732,0.00148967,0.00449948,0.0913383,-0.00793487
34.4256,0.06642,0.107416,-0.0602202,-0.00358197,0.0127855,0.000820144,-0.0189644,0.0223279,0.0411837
34.9472,0.0513866,0.137146,0.0571823,0.00232698,-0.00892563,-0.000916147,-0.00880064,-0.0131516,-0.00839775
35.4688,0.0663034,0.112459,-0.0107614,0.00240523,0.00530541,-0.000451242,0.0212425,0.015764,0.00813132
